account_name,statement_type
Contas a receber de clientes,BPA
Contas a receber de clientes e demais contas a receber,BPA
Contas a receber de clientes e outros,BPA
Contas a receber de clientes e outros recebíveis,BPA
Contas a receber de concessionárias e permissionárias,BPA
Contas a receber de partes relacionadas,BPA
Contas a receber de terceiros,BPA
Contas a receber e créditos diversos,BPA
Contas a receber e outros recebíveis,BPA
Contas a receber partes relacionadas,BPA
Contas a receber partes relacionadas LP,BPA
Contas a receber pela venda de controladas,BPA
Contas a receber por alienação de cotas,BPA
Contas a receber por alienação de direitos contratuais,BPA
Contas a receber por alienação de investimentos,BPA
Contas a receber por alienação de quotas,BPA
Contas a receber por venda de terrenos,BPA
Contas a receber sobre venda de ativo,BPA
Contas a receber sobre venda de controlada,BPA
Contas a receber vinculadas,BPA
Contas correntes com fabricantes,BPA
Contas correntes com parceiros nos empreendimentos,BPA
Contas receber por alienação cotas,BPA
Contraprestações Pecuniárias/Prêmios a Receber,BPA
Contrato de Concessão,BPA
Contrato de Mútuo,BPA
Contrato derivativo,BPA
Contratos Futuros de Energia,BPA
Contratos Operação de Cambio,BPA
Contratos a termo,BPA
Contratos de Mútuo,BPA
Contratos de forward e swap a receber,BPA
Contratos de serviços a realizar,BPA
Contratos em garantia,BPA
Contratos futuros de energia,BPA
Contribuição de iluminação pública,BPA
Convênio de Cooperação Técnica,BPA
Convênios com Empresas,BPA
Cotas de Consórcio,BPA
Cotas de Fundos de Investimento,BPA
Cotas de Fundos de Investimentos,BPA
Cotas de consórcio adquiridas,BPA
Cotas de consóricio adquiridas,BPA
Creditos a receber de precatórios,BPA
Creditos com Partes Relacionadas,BPA
Creditos diversos,BPA
CrÃ©ditos com Controladores,BPA
CrÃ©ditos com Outras Partes Relacionadas,BPA
Crédito Alienação Imobiliaria,BPA
Crédito Corporativo,BPA
Crédito ao Consumidor Concedido Pela Empresa de Soluções Financeiras,BPA
Crédito com Coligadas,BPA
Crédito com Partes Relacionadas,BPA
Crédito de Impostos,BPA
Crédito de imposto de renda e contribuição social,BPA
Crédito de impostos,BPA
Créditos Com Controladores,BPA
Créditos Com Outras Partes Relacionadas,BPA
Créditos Contratuais,BPA
Créditos Diversos,BPA
Créditos Eletrobrás,BPA
Créditos Fiscais - Prejuízo Fiscal,BPA
Créditos Fiscais diferidos,BPA
Créditos IRPJ e Csll s/prejuízos fiscais,BPA
Créditos Junto á Eletrobrás - CDE,BPA
Créditos Junto á Eletrobrás - RGR,BPA
Créditos Partes Relacionadas,BPA
Créditos Trbutários e Previdênciários,BPA
Créditos Tributários,BPA
Créditos Tributários - Pis/Cofins,BPA
Créditos Tributários e Previdenciários,BPA
Créditos Tributários e Previdenciários (Tributos a Recuperar),BPA
Créditos Tributários e Previdênciários,BPA
Créditos a Receber,BPA
Créditos a Receber de Precatório Indenizatório,BPA
Créditos a receber de Precatórios,BPA
Créditos a receber do acordo associação itaú,BPA
Créditos com Coligadas,BPA
Créditos com Controladas,BPA
Créditos com Controladores,BPA
Créditos com Empresas Ligadas,BPA
Créditos com Operações Financeiras,BPA
Créditos com Outras Partes Relacionadas,BPA
Créditos com Partes Relacionadas,BPA
Créditos com controladas em Conjunto,BPA
Créditos com controladas em conjunto,BPA
Créditos com empresas ligadas,BPA
Créditos com funcionários,BPA
Créditos com grupos de consórcio,BPA
Créditos com os parceiros nos empreendimentos,BPA
Créditos com outras partes relacionadas,BPA
Créditos com partes relacionadas,BPA
Créditos com plano de previdência,BPA
Créditos com terceiros,BPA
Créditos das Operações,BPA
Créditos de Empresas Controladas,BPA
Créditos de Impostos,BPA
Créditos de Operações com Seguros e Resseguros,BPA
Créditos diversos,BPA
Créditos fiscais diferidos,BPA
